Ecell/V	<I>/mA	Capacity/mA.h	cycle number	time/s	
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.000000047497451E+000
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.000000094994903E+000
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.000000142492354E+000
3.6170506E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	4.000000189989805E+000
3.6170900E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	5.000000237487257E+000
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	6.000000284984708E+000
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	7.000000332482159E+000
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	8.000000379979610E+000
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	9.000000427477062E+000
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.000000047497451E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.100000052247196E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.200000056996942E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.300000061746687E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.400000066496432E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.500000071246177E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.600000075995922E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.700000080745667E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.800000085495412E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	1.900000090245157E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.000000094994903E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.100000099744648E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.200000104494393E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.300000109244138E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.400000113993883E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.500000118743628E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.600000123493373E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.700000128243119E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.800000132992864E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	2.900000137742609E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.000000142492354E+001
3.6171293E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.100000147242099E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.200000151991844E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.300000156741589E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.400000161491334E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.500000166241080E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.600000170990825E+001
3.6172476E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.700000175740570E+001
3.6172082E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.800000180490315E+001
3.6172869E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	3.900000185240060E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	4.000000189989805E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	4.100000194739550E+001
3.6173263E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	4.200000199489295E+001
3.6171687E+000	0.000000000000000E+000	0.000000000000000E+000	0.000000000000000E+000	4.300000204239041E+001
